Cnty_ID,Year,Crash_Sev_ID,crash_count
Bailey,2020,Incapacitating Injury,3
Bailey,2020,Killed,2
Bailey,2020,Non-Incapacitating,14
Bailey,2020,Not Injured,87
Bailey,2020,Possible Injury,7
Bailey,2020,Unknown,6
Bailey,2021,Incapacitating Injury,8
Bailey,2021,Non-Incapacitating,20
Bailey,2021,Not Injured,94
Bailey,2021,Possible Injury,12
Bailey,2021,Unknown,5
Bailey,2022,Incapacitating Injury,1
Bailey,2022,Non-Incapacitating,13
Bailey,2022,Not Injured,92
Bailey,2022,Possible Injury,13
Bailey,2022,Unknown,5
Bailey,2023,Incapacitating Injury,4
Bailey,2023,Killed,1
Bailey,2023,Non-Incapacitating,15
Bailey,2023,Not Injured,69
Bailey,2023,Possible Injury,7
Bailey,2023,Unknown,3
Bailey,2024,Incapacitating Injury,6
Bailey,2024,Non-Incapacitating,16
Bailey,2024,Not Injured,59
Bailey,2024,Possible Injury,4
Bailey,2024,Unknown,3
Bandera,2017,Incapacitating Injury,33
Bandera,2017,Killed,7
Bandera,2017,Non-Incapacitating,53
Bandera,2017,Not Injured,216
Bandera,2017,Possible Injury,19
Bandera,2017,Unknown,11
Bandera,2018,Incapacitating Injury,22
Bandera,2018,Killed,7
Bandera,2018,Non-Incapacitating,43
Bandera,2018,Not Injured,206
Bandera,2018,Possible Injury,20
Bandera,2018,Unknown,2
Bandera,2019,Incapacitating Injury,24
Bandera,2019,Killed,6
Bandera,2019,Non-Incapacitating,48
Bandera,2019,Not Injured,211
Bandera,2019,Possible Injury,22
Bandera,2019,Unknown,6
Bandera,2020,Incapacitating Injury,21
Bandera,2020,Killed,5
Bandera,2020,Non-Incapacitating,49
Bandera,2020,Not Injured,180
Bandera,2020,Possible Injury,29
Bandera,2020,Unknown,2
Bandera,2021,Incapacitating Injury,32
Bandera,2021,Killed,2
Bandera,2021,Non-Incapacitating,43
Bandera,2021,Not Injured,179
Bandera,2021,Possible Injury,16
Bandera,2021,Unknown,7
Bandera,2022,Incapacitating Injury,33
Bandera,2022,Killed,4
Bandera,2022,Non-Incapacitating,52
Bandera,2022,Not Injured,187
Bandera,2022,Possible Injury,28
Bandera,2022,Unknown,9
Bandera,2023,Incapacitating Injury,30
Bandera,2023,Killed,6
Bandera,2023,Non-Incapacitating,41
Bandera,2023,Not Injured,205
Bandera,2023,Possible Injury,19
Bandera,2023,Unknown,13
Bandera,2024,Incapacitating Injury,34
Bandera,2024,Killed,7
Bandera,2024,Non-Incapacitating,56
Bandera,2024,Not Injured,236
Bandera,2024,Possible Injury,24
Bandera,2024,Unknown,8
Bastrop,2017,Incapacitating Injury,74
Bastrop,2017,Killed,22
Bastrop,2017,Non-Incapacitating,197
Bastrop,2017,Not Injured,1079
Bastrop,2017,Possible Injury,217
Bastrop,2017,Unknown,71
Bastrop,2018,Incapacitating Injury,54
Bastrop,2018,Killed,27
Bastrop,2018,Non-Incapacitating,165
Bastrop,2018,Not Injured,957
Bastrop,2018,Possible Injury,206
Bastrop,2018,Unknown,76
Bastrop,2019,Incapacitating Injury,55
Bastrop,2019,Killed,28
Bastrop,2019,Non-Incapacitating,186
Bastrop,2019,Not Injured,1063
Bastrop,2019,Possible Injury,258
Bastrop,2019,Unknown,77
Bastrop,2020,Incapacitating Injury,51
Bastrop,2020,Killed,24
Bastrop,2020,Non-Incapacitating,204
Bastrop,2020,Not Injured,960
Bastrop,2020,Possible Injury,212
Bastrop,2020,Unknown,81
Bastrop,2021,Incapacitating Injury,78
